Connecting to host 10.0.0.6, port 5201
[  7] local 10.0.0.1 port 57460 connected to 10.0.0.6 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   5.40-5.50   sec  82.0 KBytes  6.69 Mbits/sec    0   5.66 KBytes       
[  8]   5.50-5.60   sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[  8]   5.60-5.70   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   5.70-5.80   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   5.80-5.90   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   5.90-6.00   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   6.00-6.10   sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]   6.10-6.20   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  8]   6.20-6.30   sec  86.3 KBytes  7.06 Mbits/sec    0   7.07 KBytes       
[  8]   6.30-6.40   sec  0.00 Bytes  0.00 bits/sec    5   2.83 KBytes       
[  8]   6.40-6.50   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   6.50-6.60   sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[  8]   6.60-6.70   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   6.80-6.90   sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[  8]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  8]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  8]   7.20-7.30   sec  80.6 KBytes  6.59 Mbits/sec    0   4.24 KBytes       
[  8]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  8]   7.40-7.50   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   7.70-7.80   sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[  8]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  8]   8.20-8.30   sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  8]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[  8]   8.40-8.50   sec  79.2 KBytes  6.42 Mbits/sec    1   4.24 KBytes       
[  8]   8.50-8.60   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  8]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[  8]   8.70-8.80   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[  8]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[  8]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec    0   4.24 KBytes       
[  8]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   9.20-9.30   sec  82.0 KBytes  6.94 Mbits/sec    0   7.07 KBytes       
[  8]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[  8]   9.40-9.50   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]   9.60-9.70   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[  8]   9.70-9.80   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   9.80-9.90   sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
[  8]   9.90-10.00  sec  0.00 Bytes  0.00 bits/sec    0   5.66 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  8]   0.00-10.00  sec  1.01 MBytes   849 Kbits/sec   79             sender
[  8]   0.00-10.01  sec   952 KBytes   779 Kbits/sec                  receiver

iperf Done.
